Priority,Company,Reviews,Rating,Phone,Address,Website,Pitch Group,Instagram,Instagram URL,Facebook,Email,Best Channels,Chat Widget (scan/check),After-hours test date/time,Test result (voicemail/no answer/answered),Status,Date Contacted,Follow-up Date,Notes
A - best fit,"Right Way Roofing, Inc.",20,4.9,(602) 641-3816,9635 W Peoria Ave #107,azroof.com,Has website - sell AI receptionist + chat,@right.way.roofing,https://www.instagram.com/right.way.roofing/,facebook.com/RightWayRoofingInc,info@azroof.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Aspect Roofing LLC,20,5.0,(623) 764-6066,6525 W Hubbell St,aspectroofingllc.com,Has website - sell AI receptionist + chat,@aspectroofingllc,https://www.instagram.com/aspectroofingllc/,facebook.com/Lealaspectroofingllc,lealroofingco@gmail.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,The Arizona Roof Co,22,4.8,(480) 622-4893,,thearizonaroofco.com,Has website - sell AI receptionist + chat,@thearizonaroofco,https://www.instagram.com/thearizonaroofco/,facebook.com/profile.php,support@thearizonaroofco.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Pedroza Roofing LLC,28,4.9,(623) 203-4252,10712 S 271st Ave,pedrozaroofingllc.com,Has website - sell AI receptionist + chat,@pedroza_roofing_llc,https://www.instagram.com/pedroza_roofing_llc/,facebook.com/pedrozaroofing,pedrozaroofing@me.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Arizona Roofing Authority,42,4.9,(623) 321-7663,9034 N 23rd Ave #9A,arizonaroofingauthority.com,Has website - sell AI receptionist + chat,@azroofauthority,https://www.instagram.com/azroofauthority/,facebook.com/profile.php,info@arizonaroofingauthority.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Allstate Roofing Inc,43,5.0,(602) 441-2237,5019 W Vogel Ave,allstateroofingaz.com/glendale-roofing-contractor,Has website - sell AI receptionist + chat,@allstateroofingaz,https://www.instagram.com/allstateroofingaz/,facebook.com/allstateroofingaz,info@allstateroofingaz.com; kathy@allstateroofingaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,A1 Roofing Solutions,48,4.4,(480) 349-9726,1300 S Litchfield Rd #110-A,a1roofingaz.com,Has website - sell AI receptionist + chat,@a1.roofing,https://www.instagram.com/a1.roofing/,facebook.com/a1roofinginc.az,a1roofingaz@gmail.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Arizona Roof Rescue,49,4.7,(602) 242-2706,8646 W Glendale Ave,arizonaroofrescue.com,Has website - sell AI receptionist + chat,@azroofrescue,https://www.instagram.com/azroofrescue/,facebook.com/arizonaroofrescue,info@arizonaroofrescue.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Desert Sands Contracting,49,5.0,(623) 695-1831,13794 W Waddell Rd,desertsandsroofing.com,Has website - sell AI receptionist + chat,@dsrcontracting,https://www.instagram.com/dsrcontracting/,facebook.com/p/Desert-Sands-Contracting-61569907217766,info@desertsandsroofing.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Amax roofing inc,50,4.9,(623) 633-4331,11903 W Happy Valley Rd,amaxroofinginc.squarespace.com,Has website - sell AI receptionist + chat,@amaxroofinginc,https://www.instagram.com/amaxroofinginc/,facebook.com/2008/fbml,amaxroofinginc@yahoo.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Skye Builders,52,4.5,(602) 350-3075,17856 N 183rd Ave,skyebuildersllc.com,Has website - sell AI receptionist + chat,@skye_builders,https://www.instagram.com/skye_builders/,facebook.com/p/Skye-Builders-100063678835183,skye.buildersllc@outlook.com; skye.builders@outlook.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Fernando Roofing,60,4.9,(602) 904-2902,5939 W Colter St,fernando-roofing.com,Has website - sell AI receptionist + chat,@fernando_roofing,https://www.instagram.com/fernando_roofing/,facebook.com/FernandoRoofing1,carlos@fernandoroofing.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,GTR roofing llc,62,4.9,(623) 462-5117,7915 N Glen Harbor Blvd,gtrroofing.com,Has website - sell AI receptionist + chat,@gtr_roofing_llc,https://www.instagram.com/gtr_roofing_llc/,facebook.com/share/1JnEYkZbmN,info@gtrroofing.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,"Desert Canyon Roofing, LLC",63,4.7,(602) 628-9773,4638 W Palo Verde Dr,desertcanyonroofingllc.com,Has website - sell AI receptionist + chat,@desertcanyonroofingllc,https://www.instagram.com/desertcanyonroofingllc/,facebook.com/DesertCanyonRoofing,info@desertcanyonroofingllc.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Gen2Roofing,72,5.0,(602) 619-5648,8544 W Laurel Ln,gen2roofing.com,Has website - sell AI receptionist + chat,@gen2roofing,https://www.instagram.com/gen2roofing/,facebook.com/p/Gen2Roofing-LLC-100093292097169,gen2roofing@gmail.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Thomas Roofing LLC,84,4.9,(623) 434-3900,2320 W Louise Dr,thomasroofingaz.com,Has website - sell AI receptionist + chat,@thomasroofingaz,https://www.instagram.com/thomasroofingaz/,facebook.com/ThomasRoofingAZ,bids@thomasroofingaz.com; rick@thomasroofingaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Zona Roofing,90,4.9,(602) 362-3009,2224 W Desert Cove Ave Unit 208,zonaroofingaz.com,Has website - sell AI receptionist + chat,@zonaroofing,https://www.instagram.com/zonaroofing/,facebook.com/zonaroofing,office@zonaroofingaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Triumph Roofing,99,5.0,(602) 935-8484,3701 W Anthem Way Ste 203-10,triumphaz.com,Has website - sell AI receptionist + chat,@triumphazroofing,https://www.instagram.com/triumphazroofing/,facebook.com/triumphaz,info@triumphaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,"Advanced Roofing, LLC",101,4.8,(602) 350-4052,137 E Elliot Rd Unit 2262,advancedroofingaz.com,Has website - sell AI receptionist + chat,@advancedroofingaz,https://www.instagram.com/advancedroofingaz/,facebook.com/advancedroofingaz,info@advancedroofingaz.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,MSW Contracting llc,103,4.9,(602) 284-8542,2875 W Ray Rd Suite 6 #246,roofarizona.com,Has website - sell AI receptionist + chat,@mswcontracting,https://www.instagram.com/mswcontracting/,facebook.com/mswcontractingllc,info@roofarizona.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
A - best fit,Patterson Roofing LLC,104,4.8,(602) 448-1008,17630 N 33rd Pl,pattersonroofingco.com,Has website - sell AI receptionist + chat,@pattersonroofing,https://www.instagram.com/pattersonroofing/,facebook.com/pattersonroofingco,william@pattersonroofingco.com,IG DM + Email + FB DM + Call,NONE - hot lead,,,Not contacted,,,
