Priority,Company,Reviews,Rating,Phone,Address,Website,Pitch Group,Instagram,Instagram URL,Facebook,Email,Best Channels,Chat Widget (scan/check),After-hours test date/time,Test result (voicemail/no answer/answered),Status,Date Contacted,Follow-up Date,Notes
A - best fit,Arizona Professional Roofing,15,4.7,(602) 877-8191,826 S 131st St,arizonaprofessionalroofing.com,Has website - sell AI receptionist + chat,,,,,Call,,,,Not contacted,,,
A - best fit,Casado Roofing LLC,16,5.0,(480) 343-3802,24642 W Atlanta Ave,casadoroofingllc.com,Has website - sell AI receptionist + chat,,,,,Call,,,,Not contacted,,,
A - best fit,Gary and Son Roofing,18,4.7,(602) 843-5858,13036 S Airport Rd,garyandsonroofingaz.com,Has website - sell AI receptionist + chat,,,facebook.com/GaryandSon,,FB DM + Call,,,,Not contacted,,,
A - best fit,Boss Roofing and Home Restoration,19,4.6,(623) 900-8663,,bossroofingandhomerestoration.com,Has website - sell AI receptionist + chat,,,facebook.com/61574503526169,,FB DM + Call,,,,Not contacted,,,
A - best fit,"Right Way Roofing, Inc.",20,4.9,(602) 641-3816,9635 W Peoria Ave #107,azroof.com,Has website - sell AI receptionist + chat,@right.way.roofing,https://www.instagram.com/right.way.roofing/,facebook.com/RightWayRoofingInc,,IG DM + FB DM + Call,,,,Not contacted,,,
A - best fit,Aspect Roofing LLC,20,5.0,(623) 764-6066,6525 W Hubbell St,aspectroofingllc.com,Has website - sell AI receptionist + chat,@aspectroofingllc,https://www.instagram.com/aspectroofingllc/,,,IG DM + Call,,,,Not contacted,,,
A - best fit,Arizona Roof Busters,20,4.7,(602) 638-9342,4112 E Arbor Ave,azroofbusters.com,Has website - sell AI receptionist + chat,@arizona_roof_busters__llc,https://www.instagram.com/arizona_roof_busters__llc/,,,IG DM + Call,,,,Not contacted,,,
A - best fit,Arizona Professional Roofing & Construction,21,4.4,(602) 312-2863,2404 W Turney Ave,azpror.com,Has website - sell AI receptionist + chat,,,facebook.com/ProRoofersAZ,,FB DM + Call,,,,Not contacted,,,
A - best fit,The Arizona Roof Co,22,4.8,(480) 622-4893,,thearizonaroofco.com,Has website - sell AI receptionist + chat,@thearizonaroofco,https://www.instagram.com/thearizonaroofco/,,,IG DM + Call,,,,Not contacted,,,
A - best fit,Pedroza Roofing LLC,28,4.9,(623) 203-4252,10712 S 271st Ave,pedrozaroofingllc.com,Has website - sell AI receptionist + chat,@pedroza_roofing_llc,https://www.instagram.com/pedroza_roofing_llc/,facebook.com/pedrozaroofing,,IG DM + FB DM + Call,,,,Not contacted,,,
A - best fit,D & M Roofing LLC,29,4.6,(480) 745-4597,25600 W MC 85,dandmroofingllc.com,Has website - sell AI receptionist + chat,,,facebook.com/dmroofingllc,,FB DM + Call,,,,Not contacted,,,
A - best fit,Hays Roofing,31,4.5,(602) 854-0423,1717 W Latham St,haysroofing.com,Has website - sell AI receptionist + chat,@haysroofing,https://www.instagram.com/haysroofing/,,,IG DM + Call,,,,Not contacted,,,
A - best fit,Arizona Sky Roofing Consultants - Roofing Contractor & Roof Repair Mesa,32,5.0,(602) 881-6073,2954 E Gable Cir,azskyroofing.com,Has website - sell AI receptionist + chat,@azskyroofing,https://www.instagram.com/azskyroofing/,,,IG DM + Call,,,,Not contacted,,,
A - best fit,JLC Roofing Inc,33,4.1,(623) 878-9832,8760 N 77th Dr,jlcroofingaz.com,Has website - sell AI receptionist + chat,@jlcroofingaz,https://www.instagram.com/jlcroofingaz/,,,IG DM + Call,,,,Not contacted,,,
A - best fit,Jalisco Roofing LLC,36,4.7,(602) 405-0361,30431 W Picadilly Rd,jaliscoroofing.com,Has website - sell AI receptionist + chat,,,facebook.com/JaliscoRoofingLLC,,FB DM + Call,,,,Not contacted,,,
A - best fit,United Legends Roofing,36,5.0,(623) 248-6031,16357 W Yuma Rd,unitedlegendsroofing.com,Has website - sell AI receptionist + chat,,,facebook.com/p/United-Legends-Roofing-61563867328812,timothy@unitedlegendsroofing.com,Email + FB DM + Call,,,,Not contacted,,,
A - best fit,Arizona Valley Roofing INC - Roofing Contractor Cave Creek,39,4.5,(380) 227-2239,5743 E Windstone Trl,azvalleyroof.com,Has website - sell AI receptionist + chat,,,,,Call,,,,Not contacted,,,
A - best fit,Arizona Roofing Solutions,40,4.9,(480) 770-5055,1533 N Alma School Rd,arizonaroofsolutions.com,Has website - sell AI receptionist + chat,@arizonaroofingsolutions,https://www.instagram.com/arizonaroofingsolutions/,,,IG DM + Call,,,,Not contacted,,,
A - best fit,Priority Metal Roofing,40,4.9,(602) 560-9619,"Tierra Norte, 11731 W River Rd",metalroofingelmirage.com,Has website - sell AI receptionist + chat,,,,,Call,,,,Not contacted,,,
A - best fit,Star Roofing,41,4.4,(602) 944-3323,9201 N 9th Ave,starroofingaz.com,Has website - sell AI receptionist + chat,,,facebook.com/StarRoof,,FB DM + Call,,,,Not contacted,,,
A - best fit,Arizona Roofing Authority,42,4.9,(623) 321-7663,9034 N 23rd Ave #9A,arizonaroofingauthority.com,Has website - sell AI receptionist + chat,@azroofauthority,https://www.instagram.com/azroofauthority/,,info@arizonaroofingauthority.com,IG DM + Email + Call,,,,Not contacted,,,
A - best fit,Allstate Roofing Inc,43,5.0,(602) 441-2237,5019 W Vogel Ave,allstateroofingaz.com/glendale-roofing-contractor,Has website - sell AI receptionist + chat,@allstateroofingaz,https://www.instagram.com/allstateroofingaz/,,,IG DM + Call,,,,Not contacted,,,
