#,Company,Instagram Handle,Instagram URL,City/Region,Phone (call/text),Email,Website,Channel Plan,Pitch Group,Chat Widget (scan/check),After-hours test date/time,Test result (voicemail/no answer/answered),Status,Date Contacted,Follow-up Date,Notes
1,Texas Ace Heating & Air,@texasacehvac,https://www.instagram.com/texasacehvac/,"Dallas, TX",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
2,Texas Best Heating & Air,@texasbestheatingandair,https://www.instagram.com/texasbestheatingandair/,"Fort Worth, TX",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
3,Pro-HVAC Solutions Texas,@hvaceaglepass,https://www.instagram.com/hvaceaglepass/,"Eagle Pass, TX",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
4,AirClinic HVAC Experts,@airclinicdfw,https://www.instagram.com/airclinicdfw/,"Arlington, TX",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
5,Texan Air Mechanical,@texanairmechanical,https://www.instagram.com/texanairmechanical/,"Austin, TX",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
6,Axis Air Texas LLC,@axisairtx,https://www.instagram.com/axisairtx/,"El Paso, TX",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
7,All American AC & Heating LLC,@allamericanactx,https://www.instagram.com/allamericanactx/,Texas,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
8,All Star Heating & Cooling of Central Florida,@allstarhvac_centralflorida,https://www.instagram.com/allstarhvac_centralflorida/,Central FL,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
9,Florida Heating & Air,@floridaheatingair,https://www.instagram.com/floridaheatingair/,"Jacksonville, FL",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
10,Del-Air Heating & Air,@delairflorida,https://www.instagram.com/delairflorida/,Florida,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
11,Florida's Coolest A/C,@floridascoolesthvac,https://www.instagram.com/floridascoolesthvac/,Southwest FL,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
12,First Response Heating & Cooling,@firstresponsehvac,https://www.instagram.com/firstresponsehvac/,"Tampa area, FL",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
13,Caloosa Cooling,@caloosa_cooling,https://www.instagram.com/caloosa_cooling/,Southwest FL,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
14,United Refrigeration Heating & Air,@unitedairheat,https://www.instagram.com/unitedairheat/,North Central FL,,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
15,Heatwave Air Conditioning & Heating LLC,@heatwave_airconditioning,https://www.instagram.com/heatwave_airconditioning/,"Phoenix, AZ",,,,IG DM,"Website unknown - check, then pitch",,,,Not contacted,,,
