business_name,city/state,instagram_handle,facebook_page_url,follower_count,recent_post_topic,website_status,phone_number
Allstate Roofing Inc.,"Phoenix, AZ",@azallstateroofing,https://www.facebook.com/Allstate-Roofing-Inc-120254126553863,,,has site,602-484-7663
RENCO Roofing,"Phoenix, AZ",@rencoroofing,https://www.facebook.com/rencoroofing/,,,has site,602-867-9386
Scott Roofing Company,"Phoenix, AZ",@scottroofingco,https://www.facebook.com/scottroofingco/,,,has site,602-442-7663
Triangle Roofing Company,"Scottsdale, AZ",,,,,has site,602-843-7663
Tip Top Roofing Service,"Scottsdale, AZ",@tiptop.roofing_service,https://www.facebook.com/people/Tip-Top-Roofing-Services/61567418979005/,,,has site,480-877-1643
Kore Roofing,"Scottsdale, AZ",@koreroofing,https://www.facebook.com/koreroofing/,1011,achieving "Premio Pro" status with roofing supplier Polyglass,has site,480-550-8029
Desert Sands Roofing,"Surprise, AZ",,https://www.facebook.com/p/Desert-Sands-Contracting-61569907217766/,,bundling roof and solar contracting services,has site,602-736-3019
All About Roofing LLC,"Surprise, AZ",,https://www.facebook.com/allaboutroofin/,,,has site,602-500-0652
Lyons Roofing,"Surprise, AZ",@lyonsroofing,https://www.facebook.com/LyonsRoofingA/,146,commercial roofing solutions,has site,602-638-3135
Jim Brown and Sons Roofing,"Glendale, AZ",,https://www.facebook.com/jbsroofing/,,,has site,623-247-9252
Arizona Roof Rescue,"Glendale, AZ",@azroofrescue,https://www.facebook.com/arizonaroofrescue/,,,has site,602-242-2706
Priority Roofing,"Glendale, AZ",@priorityroofingaz,https://www.facebook.com/Priorityroofingcompany/,792,,has site,602-761-6591
JLC Roofing Inc.,"Peoria, AZ",@jlcroofingaz,https://www.facebook.com/JLC-Roofing-Inc-104317804410406/,191,,has site,623-878-9832
Armored Roofing,"Peoria, AZ",@armoredroofing,https://www.facebook.com/armoredroofingllc/,,,has site,623-242-7122
Mighty Dog Roofing of Peoria,"Peoria, AZ",@mightydogroofing.peoria,https://www.facebook.com/mightydogroofing.peoria/,,,has site,623-294-5167
