#,Company,Instagram Handle,Instagram URL,City/Region,Phone (call/text),Email,Website,Channel Plan,Pitch Group,Chat Widget (scan/check),After-hours test date/time,Test result (voicemail/no answer/answered),Status,Date Contacted,Follow-up Date,Notes
1,Redline Roofing Company,@redline_roofing_tx,https://www.instagram.com/redline_roofing_tx/,"East Texas, TX",(903) 508-1651,,redlineroofingtx.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
2,Texas Roofing Co,@texasroofingco,https://www.instagram.com/texasroofingco/,"Round Rock, TX",,,tectaamerica.com,IG DM,Has website - sell AI receptionist + chat,,,,Not contacted,,,
3,The Roof Co Waco,@theroofcowaco,https://www.instagram.com/theroofcowaco/,"Waco, TX",(254) 651-1776,info@theroofcowaco.com,theroofcowaco.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
4,Texas Premier Roofing,@txpremierroofing,https://www.instagram.com/txpremierroofing/,Texas,(888) 858-9010,,txpremierroofing.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
5,Texas Roofing,@wearetexasroofing,https://www.instagram.com/wearetexasroofing/,"San Antonio area, TX",,,wearetexasroofing.com,IG DM,Has website - sell AI receptionist + chat,,,,Not contacted,,,
6,Roof Spotters Inc,@roofspotters,https://www.instagram.com/roofspotters/,"Texas Panhandle, TX",(806) 372-4149,roofspotters@gmail.com,roofspotters.com,IG DM + Email + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
7,Beldon Roofing Company,@beldonroofingcompany,https://www.instagram.com/beldonroofingcompany/,"San Antonio, TX",(210) 341-3100,,beldon.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
8,TPRCI Roofing,@tprci,https://www.instagram.com/tprci/,"Orlando, FL",(407) 901-7380,,tprci.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
9,My Florida Roofing Contractor,@my_florida_roofing_contractor,https://www.instagram.com/my_florida_roofing_contractor/,"Vero Beach, FL",(772) 453-7219,,myflroofingcontractor.com,IG DM + Text/Call,Has website - sell AI receptionist + chat,,,,Not contacted,,,
10,Florida Roofing Solutions,@flroofingsolutions,https://www.instagram.com/flroofingsolutions/,Florida,,,floridaroofingsolutions.com,IG DM,Has website - sell AI receptionist + chat,,,,Not contacted,,,
